iter	Passed	Remaining
1218	5713	36470
1219	5717	36463
1220	5721	36454
1221	5727	36453
1222	5731	36445
1223	5735	36438
1224	5739	36429
1225	5745	36429
1226	5749	36421
1227	5753	36412
1228	5758	36412
1229	5762	36404
1230	5766	36395
1231	5770	36386
1232	5776	36386
1233	5780	36380
1234	5785	36374
1235	5790	36372
1236	5794	36366
1237	5799	36360
1238	5804	36358
1239	5809	36359
1240	5814	36355
1241	5819	36352
1242	5825	36352
1243	5829	36344
1244	5834	36340
1245	5839	36339
1246	5843	36332
1247	5847	36323
1248	5851	36315
1249	5857	36316
1250	5862	36311
1251	5866	36304
1252	5871	36305
1253	5876	36299
1254	5880	36291
1255	5885	36285
1256	5890	36284
1257	5894	36277
1258	5898	36269
1259	5904	36267
1260	5908	36259
1261	5912	36253
1262	5916	36244
1263	5921	36240
1264	5925	36232
1265	5929	36224
1266	5933	36216
1267	5939	36215
1268	5943	36207
1269	5947	36199
1270	5952	36198
1271	5956	36190
1272	5961	36187
1273	5966	36182
1274	5971	36179
1275	5976	36177
1276	5981	36174
1277	5986	36173
1278	5991	36170
1279	5996	36164
1280	6001	36163
1281	6005	36157
1282	6011	36155
1283	6017	36158
1284	6021	36149
1285	6025	36141
1286	6029	36133
1287	6034	36131
1288	6039	36126
1289	6043	36120
1290	6048	36118
1291	6052	36110
1292	6056	36102
1293	6060	36094
1294	6066	36093
1295	6070	36085
1296	6074	36077
1297	6080	36079
1298	6084	36072
1299	6088	36065
1300	6093	36058
1301	6098	36055
1302	6102	36050
1303	6107	36045
1304	6112	36043
1305	6116	36036
1306	6121	36028
1307	6125	36020
1308	6130	36018
1309	6134	36012
1310	6139	36008
1311	6144	36007
1312	6149	35999
1313	6153	35992
1314	6157	35984
1315	6162	35983
1316	6166	35976
1317	6171	35972
1318	6177	35971
1319	6181	35963
1320	6186	35961
1321	6190	35955
1322	6196	35955
1323	6201	35954
1324	6206	35950
1325	6211	35950
1326	6216	35943
1327	6220	35935
1328	6225	35932
1329	6229	35926
1330	6233	35918
1331	6237	35909
1332	6242	35907
1333	6247	35902
1334	6252	35898
1335	6258	35899
1336	6262	35892
1337	6266	35883
1338	6270	35876
1339	6275	35875
1340	6280	35867
1341	6284	35859
1342	6288	35856
1343	6293	35849
1344	6297	35841
1345	6301	35833
1346	6306	35829
1347	6310	35821
1348	6314	35814
1349	6318	35807
1350	6324	35805
1351	6328	35799
1352	6332	35791
1353	6337	35789
1354	6342	35785
1355	6347	35781
